"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
157,"Abstract","A2","whatnot",3.097136267,"noun",7,9.61,1.92
157,"Concrete","A2","spades",3.355651926,"noun",6,7.99,4.53
158,"Abstract","A2","highbrow",2.826069495,"noun",8,13.56,2.42
158,"Concrete","A2","distillery",3.110709074,"noun",10,14.61,4.41
159,"Abstract","A2","loser",3.982416696,"noun",5,6.67,2.35
159,"Concrete","A2","leak",3.961496643,"noun",4,5.47,4.28
160,"Abstract","A1","dominant",3.907656811,"adjective",8,11.11,1.66
160,"Concrete","A1","maiden",3.907923331,"adjective",6,9.58,4.24
161,"Abstract","A1","defunct",2.686961802,"adjective",7,11.67,2.16
161,"Concrete","A1","nudist",2.428129486,"adjective",6,10.94,4.66
162,"Abstract","A2","respite",3.509983322,"noun",7,14.31,1.77
162,"Concrete","A2","risotto",3.733560477,"noun",7,16,4.36
163,"Abstract","A2","complication",3.161118578,"noun",12,9.5,1.86
163,"Concrete","A2","shipbuilding",3.274374936,"noun",12,9.29,4.63
164,"Abstract","A2","loyal",3.976996413,"adjective",5,9.11,1.69
164,"Concrete","A2","solar",4.225679128,"adjective",5,9.05,4
165,"Abstract","A2","safety",4.846277268,"noun",6,5.84,2.37
165,"Concrete","A2","upstairs",4.754389468,"noun",8,3.86,4.33
166,"Abstract","A1","insincere",2.358493558,"adjective",9,11.17,1.76
166,"Concrete","A1","unshaven",2.110709074,"adjective",8,10,4.24
167,"Abstract","A2","benchmark",3.26040179,"noun",9,12.28,2.48
167,"Concrete","A2","cornerstone",2.996765722,"noun",11,11.74,4.04
168,"Abstract","A1","foregoing",1.899855709,"verb",9,12.26,1.92
168,"Concrete","A1","cremate",2.075946968,"verb",7,11.8,4.1
169,"Abstract","A2","navigation",3.419191398,"noun",10,10.2,2.35
169,"Concrete","A2","sideboard",3.262762092,"noun",9,10.24,4.42
170,"Abstract","A1","blithering",2.172856981,"verb",10,11.87,2.19
170,"Concrete","A1","ejaculate",2.308519583,"verb",9,13.32,4.31
171,"Abstract","A2","pardon",4.144596572,"noun",6,7.83,2.24
171,"Concrete","A2","vampire",3.98016646,"noun",7,7.16,4.18
172,"Abstract","A1","fresh",4.893319495,"adjective",5,6.22,1.97
172,"Concrete","A1","dead",5.149084649,"adjective",4,5.17,4.07
173,"Abstract","A2","yours",4.902183791,"noun",5,4.51,2.14
173,"Concrete","A2","egg",4.797035907,"noun",3,3.89,4.97
174,"Abstract","A1","inadvertent",1.996765722,"adjective",11,13.21,2.14
174,"Concrete","A1","quadriplegic",1.899855709,"adjective",12,13.5,4.11
175,"Abstract","A1","command",4.253002255,"noun",7,8.67,2.48
175,"Concrete","A1","prisoner",4.08401459,"noun",8,8,4.11
176,"Abstract","A1","unfocused",2.075946968,"adjective",9,10.31,2.12
176,"Concrete","A1","glossary",1.809679079,"adjective",8,9.06,4.19
177,"Abstract","A2","energizer",1.926184648,"name",9,8.95,2.21
177,"Concrete","A2","rawhide",2.200885705,"name",7,9.59,4.35
178,"Abstract","A2","niceness",2.200885705,"noun",8,5.17,2.15
178,"Concrete","A2","dishwater",2.017955021,"noun",9,6.39,4.61
179,"Abstract","A2","elation",2.976769093,"noun",7,11.41,2.08
179,"Concrete","A2","rivet",2.822840525,"noun",5,12.83,4.5
180,"Abstract","A2","intent",3.853192494,"noun",6,9.37,1.52
180,"Concrete","A2","stitch",3.597194048,"noun",6,7.39,4.32
181,"Abstract","A1","unforced",2.946155729,"adjective",8,9.12,2.04
181,"Concrete","A1","topless",3.180035566,"adjective",7,10.11,4.11
182,"Abstract","A2","punishment",4.06197185,"noun",10,5.47,2.46
182,"Concrete","A2","clothing",4.13506842,"noun",8,4.22,4.43
183,"Abstract","A2","thrive",3.676647664,"verb",6,9.35,2.21
183,"Concrete","A2","swamp",3.509316715,"verb",5,7.95,4.96
184,"Abstract","A1","impatient",3.314829057,"adjective",9,7.39,2.38
184,"Concrete","A1","rectangular",3.172856981,"adjective",11,5.42,4.11
185,"Abstract","A1","smug",3.453131755,"adjective",4,9.33,1.83
185,"Concrete","A1","blush",3.191280064,"adjective",5,7.95,4.41
186,"Abstract","A1","absenteeism",2.297795718,"noun",11,13.43,2.35
186,"Concrete","A1","polygraph",2.436098416,"noun",9,13.33,4.03
187,"Abstract","A2","karma",3.294526233,"noun",5,13.67,1.93
187,"Concrete","A2","analyst",3.482487148,"noun",7,11.75,4.23
188,"Abstract","A2","inequity",2.057463562,"noun",8,14.72,1.69
188,"Concrete","A2","homepage",1.996765722,"noun",8,14.26,4
189,"Abstract","A1","mishmash",2.308519583,"noun",8,10.64,2.08
189,"Concrete","A1","coachman",2.436098416,"noun",8,11.39,4.12
190,"Abstract","A1","elegance",3.496452804,"noun",8,9.61,2.18
190,"Concrete","A1","airfield",3.403305902,"noun",8,8.6,4.7
191,"Abstract","A1","responsiveness",1.926184648,"noun",14,10.62,2
191,"Concrete","A1","contortionist",2.158133724,"noun",13,11.76,4.33
192,"Abstract","A2","reorientation",1.737128411,"noun",13,12.83,1.73
192,"Concrete","A2","tranquilizers",1.473886977,"noun",13,11.74,4.26
193,"Abstract","A2","hark",3.290128277,"name",4,10.47,2.38
193,"Concrete","A2","teal",3.479639305,"name",4,9.42,4.07
