,noun,set_nr,concreteness,Zipf,PoS,Length,AoA,CNC_M,CNC_SD,denotation,adjective,phrase
387,hatred,65,abstract,3.648043736,noun,6,8.72,2.0,1.2,subsective,new,new hatred
388,hatred,65,abstract,3.648043736,noun,6,8.72,2.0,1.2,privative,hypothetical,hypothetical hatred
390,talker,66,concrete,2.863053061,noun,6,5.74,4.39,0.99,subsective,average,average talker
391,talker,66,concrete,2.863053061,noun,6,5.74,4.39,0.99,privative,fabricated,fabricated talker
393,favor,66,abstract,2.799539447,noun,5,6.94,2.07,1.19,subsective,typical,typical favor
394,favor,66,abstract,2.799539447,noun,5,6.94,2.07,1.19,privative,spurious,spurious favor
396,survey,67,concrete,4.282435528,noun,6,11.26,4.08,1.19,subsective,important,important survey
397,survey,67,concrete,4.282435528,noun,6,11.26,4.08,1.19,privative,former,former survey
399,destiny,67,abstract,3.98621554,noun,7,10.21,1.67,0.92,subsective,new,new destiny
400,destiny,67,abstract,3.98621554,noun,7,10.21,1.67,0.92,privative,hypothetical,hypothetical destiny
402,mare,68,concrete,3.652384305,noun,4,8.84,4.75,0.59,subsective,special,special mare
403,mare,68,concrete,3.652384305,noun,4,8.84,4.75,0.59,privative,past,past mare
405,heyday,68,abstract,3.563792088,noun,6,10.59,1.52,0.7,subsective,important,important heyday
406,heyday,68,abstract,3.563792088,noun,6,10.59,1.52,0.7,privative,former,former heyday
408,brain,69,concrete,4.8371855,noun,5,5.76,4.69,0.74,subsective,real,real brain
409,brain,69,concrete,4.8371855,noun,5,5.76,4.69,0.74,privative,mythical,mythical brain
411,risk,69,abstract,4.984833925,noun,4,7.58,1.63,0.81,subsective,unique,unique risk
412,risk,69,abstract,4.984833925,noun,4,7.58,1.63,0.81,privative,virtual,virtual risk
414,cigar,70,concrete,3.592812729,noun,5,7.67,4.93,0.27,subsective,special,special cigar
415,cigar,70,concrete,3.592812729,noun,5,7.67,4.93,0.27,privative,past,past cigar
417,gloom,70,abstract,3.603684248,noun,5,9.0,1.86,1.09,subsective,new,new gloom
418,gloom,70,abstract,3.603684248,noun,5,9.0,1.86,1.09,privative,hypothetical,hypothetical gloom
420,pyramid,71,concrete,3.713603445,noun,7,7.61,4.96,0.2,subsective,actual,actual pyramid
421,pyramid,71,concrete,3.713603445,noun,7,7.61,4.96,0.2,privative,artificial,artificial pyramid
423,dread,71,abstract,3.6576312,noun,5,9.44,1.86,1.06,subsective,average,average dread
424,dread,71,abstract,3.6576312,noun,5,9.44,1.86,1.06,privative,fabricated,fabricated dread
426,joust,72,concrete,2.443923753,noun,5,10.63,4.03,0.93,subsective,actual,actual joust
427,joust,72,concrete,2.443923753,noun,5,10.63,4.03,0.93,privative,artificial,artificial joust
429,penance,72,abstract,2.695735726,noun,7,12.5,1.52,0.77,subsective,perfect,perfect penance
430,penance,72,abstract,2.695735726,noun,7,12.5,1.52,0.77,privative,mock,mock penance
432,cog,73,concrete,3.505295441,noun,3,11.33,4.46,1.14,subsective,real,real cog
433,cog,73,concrete,3.505295441,noun,3,11.33,4.46,1.14,privative,mythical,mythical cog
