"item_nr","condition","match_null","string","Zipf.SUBTLEX_UK","PoS.SUBTLEX_UK","Length","AoA.Kuperman","CNC.Brysbaert"
182,"Abstract","A2","freakiness",1.473886977,"noun",10,8.95,1.75
182,"Concrete","A2","storefront",1.473886977,"noun",10,8.89,4
183,"Abstract","A1","integrity",3.795761456,"noun",9,10.72,1.44
183,"Concrete","A1","workplace",3.632249469,"noun",9,10.06,4.48
184,"Abstract","A2","longshot",1.394705731,"noun",8,10.84,1.89
184,"Concrete","A2","snowcap",1.297795718,"noun",7,9.9,4.48
185,"Abstract","A1","wondrous",3.165557742,"adjective",8,11,1.46
185,"Concrete","A1","abdominal",3.21817996,"adjective",9,10.24,4.28
186,"Abstract","A1","worthlessness",1.951008231,"noun",13,9.78,1.59
186,"Concrete","A1","needlepoint",2.110709074,"noun",11,9,4.48
187,"Abstract","A1","appreciable",1.951008231,"adjective",11,10.17,1.57
187,"Concrete","A1","beachfront",2.110709074,"adjective",10,9.25,4.46
188,"Abstract","A1","foulness",1.926184648,"noun",8,12,1.84
188,"Concrete","A1","gingivitis",1.774916972,"noun",10,12.33,4.03
189,"Abstract","A1","untruthful",2.057463562,"adjective",10,6.74,1.76
189,"Concrete","A1","cornmeal",1.996765722,"adjective",8,6.84,4.83
190,"Abstract","A1","unresolved",2.915843814,"adjective",10,10.05,1.87
190,"Concrete","A1","turntable",2.976769093,"adjective",9,10.39,4.57
191,"Abstract","A1","garbled",2.239803771,"verb",7,12.29,1.96
191,"Concrete","A1","shackle",2.252038227,"verb",7,12.16,4.34
192,"Abstract","A1","incredible",4.939121072,"adjective",10,8.8,1.93
